source,target
142633802,737544816871899136
142633802,873950011909963776
142633802,96160040
1030210553095118848,45396268
1030210553095118848,873950011909963776
134833251,96160040
1858410354,96160040
1055147718564298752,331734057
566646445,627372516
615620588,2387728961
319878502,45396268
35797450,2387728961
1041808589978062848,873950011909963776
1729686608,45396268
150650396,873950011909963776
1334103210571816960,96160040
1458741792988450816,331734057
1458741792988450816,96160040
2785725529,737544816871899136
2785725529,96160040
37114611,2387728961
37114611,356695394
1138489108056219648,873950011909963776
235418562,45396268
235418562,96160040
220995180,45396268
1346406064556806144,873950011909963776
92839623,873950011909963776
81231408,737544816871899136
1453313006729940992,331734057
1453313006729940992,96160040
131557292,96160040
124871787,45396268
3575770572,873950011909963776
20100663,45396268
20100663,96160040
928410118051549184,873950011909963776
1951143613,627372516
915367920,1351678532246712320
194241586,850460392786718720
285723566,850460392786718720
3091402738,45396268
3011027730,2387728961
192880441,45396268
192880441,96160040
266251186,1446159106541297664
3037252755,96160040
963871890266902528,1153980251812376576
1249334514872201216,1440956484309897216
1249334514872201216,873950011909963776
1249334514872201216,96160040
448445617,627372516
708053638309089280,331734057
708053638309089280,45396268
198029465,737544816871899136
91634013,45396268
91634013,96160040
212159710,45396268
1424697256452689920,850460392786718720
2920515677,873950011909963776
1108018038429802496,45396268
3601637475,873950011909963776
915614019804950528,45396268
1440956484309897216,1000104452316172288
1440956484309897216,1004376069229744128
1440956484309897216,1004376244161429504
1440956484309897216,1006737066821128192
1440956484309897216,1010484902779871232
1440956484309897216,101116237
1440956484309897216,1017721892411772928
1440956484309897216,1017725224438128640
1440956484309897216,1018572319332192256
1440956484309897216,101887335
1440956484309897216,1021140373
1440956484309897216,1021441531226533888
1440956484309897216,1027286701947990016
1440956484309897216,1027301453650698240
1440956484309897216,1032316529944276992
1440956484309897216,1034951119334727680
1440956484309897216,103784896
1440956484309897216,103797410
1440956484309897216,1039912412353318912
1440956484309897216,1040351265342013440
1440956484309897216,104154171
1440956484309897216,1041704764478611456
1440956484309897216,1044714468712697856
1440956484309897216,1045023446818848768
1440956484309897216,1045972641721589760
1440956484309897216,105041593
1440956484309897216,1053071927105835008
1440956484309897216,1053325199557431296
1440956484309897216,1053845023433854976
1440956484309897216,1059225230680510464
1440956484309897216,106012183
1440956484309897216,1060154406652514304
1440956484309897216,106044518
1440956484309897216,106126246
1440956484309897216,1063118368427950080
1440956484309897216,106314132
1440956484309897216,1064539030837170176
1440956484309897216,106584640
1440956484309897216,1073346694539026432
1440956484309897216,107834175
1440956484309897216,108622476
1440956484309897216,1087288153701011456
1440956484309897216,108852441
1440956484309897216,1089526021857120256
1440956484309897216,1092212064263856128
1440956484309897216,1094254497193439232
1440956484309897216,1094387087242117120
1440956484309897216,1096645494
1440956484309897216,1097530814533898240
1440956484309897216,1099579632553218048
